factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment,products_list,production_capacity_yearly_pieces,capacity_category,factory_age,employees_per_machine,productivity_pieces_per_machine,num_products,produces_t-shirt,produces_shirt,produces_pants,produces_jacket,produces_polo_shirt,produces_sweater
1st & Fair Fashion Wear Pvt. Ltd.,Woven,5.0,180.0,100,100000.0,"Shirts ,Pants","Holding # 2059, Joy Bangla Road, National University, Gazipur, Joydevpur",Gazipur,Joydevpur,2015,"['Shirts', 'Pants']",1200000.0,Very Large,10,1.8,12000.0,2,0,0,1,0,0,0
3A Fashions Ltd.,Knit,5.0,350.0,114,600000.0,"T-Shirts ,Polo Shirts","Khejur Bagar, Baro Ashulia, Dhaka, Savar",Dhaka,Savar,2010,"['T-Shirts', 'Polo Shirts']",7200000.0,Very Large,15,3.0701754385964914,63157.89473684211,2,0,0,0,0,0,0
3M Composite Ltd.,Knit,5.0,250.0,116,100000.0,"T-Shirts ,Polo Shirts","Lithe Complex, Asian High Way, Shanarpar, Narayanganj, Siddirganj",Narayanganj,Siddirganj,2009,"['T-Shirts', 'Polo Shirts']",1200000.0,Very Large,16,2.1551724137931036,10344.827586206897,2,0,0,0,0,0,0
3N Fashion (BD) Ltd.,Knit,5.0,250.0,263,20000.0,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Plot # 2924,2925,2939,2940, (Chairman Plaza) Dakkhin Khan Bazar, Dhaka, Dakkhin Khan",Dhaka,Dakkhin Khan,2014,"['Shirts', 'Pants', 'T-Shirts', 'Polo Shirts']",240000.0,Large,11,0.9505703422053232,912.5475285171103,4,0,0,1,0,0,0
3S International Ltd.,Knit,5.0,65.0,52,75000.0,"T-Shirts ,Polo Shirts","144/1, Alubdi (Ground & 1St Floor), Pallobi, Dhaka, Mirpur-12",Dhaka,Mirpur-12,2015,"['T-Shirts', 'Polo Shirts']",900000.0,Large,10,1.25,17307.69230769231,2,0,0,0,0,0,0
4 Star Fashions Ltd.,Sweater,5.0,582.0,409,60000.0,Sweaters,"385/1, East Rampura (6Th Floor), Dhaka, Rampura",Dhaka,Rampura,1998,['Sweaters'],720000.0,Large,27,1.4229828850855746,1760.3911980440098,1,0,0,0,0,0,0
4 You Clothing Ltd.,Woven,5.0,440.0,162,8000.0,"Shirts ,Blouses ,Trousers","167/1, Senpara Parbata, Section # 10, Dhaka, Mirpur",Dhaka,Mirpur,1999,"['Shirts', 'Blouses', 'Trousers']",96000.0,Medium,26,2.7160493827160495,592.5925925925926,3,0,0,0,0,0,0
4 Z Apparels,Woven,1.0,1.0,270,350000.0,"Shirt ,Pant ,T-shirt ,Polo shirt","Master Bari Road, Beraider Chala, Sreepur, Gazipur, Gazipur",Gazipur,Gazipur,2023,"['Shirt', 'Pant', 'T-shirt', 'Polo shirt']",4200000.0,Very Large,2,0.003703703703703704,15555.555555555555,4,0,1,0,0,0,0
4A Yarn Dyeing Ltd.,Sweater,5.0,721.0,1100,60000.0,"Sweaters ,Pullovers ,Cardigans","Kaichabari, Banshbari, Depz Road, Dhaka, Savar",Dhaka,Savar,2007,"['Sweaters', 'Pullovers', 'Cardigans']",720000.0,Large,18,0.6554545454545454,654.5454545454545,3,0,0,0,0,0,0
4S-Park Style Ltd.,Knit,5.0,489.0,278,100000.0,"T-Shirts ,Polo Shirts ,Sleep Boxer ,Sweet Shirts","Durgapur, Ashulia, Dhaka, Savar",Dhaka,Savar,2008,"['T-Shirts', 'Polo Shirts', 'Sleep Boxer', 'Sweet Shirts']",1200000.0,Very Large,17,1.7589928057553956,4316.546762589928,4,0,0,0,0,0,0
5F Apparels Ltd.,Woven,1.0,4.0,185,84000.0,"Shirt ,Pant ,Jacket ,Trouser","Zirabo, Ashulia, Savar, Ashulia, Dhaka",Ashulia,Dhaka,2016,"['Shirt', 'Pant', 'Jacket', 'Trouser']",1008000.0,Very Large,9,0.021621621621621623,5448.648648648648,4,0,1,0,1,0,0
9 Star Apparels Inds. Ltd.,Woven,5.0,255.0,165,208000.0,"Caps ,Hats","Plot # 56, Vatulia, House # 116, Nurani Madrasa Road # 5, Dhaka, Turag",Dhaka,Turag,2014,"['Caps', 'Hats']",2496000.0,Very Large,11,1.5454545454545454,15127.272727272728,2,0,0,0,0,0,0
A & A Fashion Sweaters Ltd.,Sweater,5.0,700.0,300,72000.0,Sweaters,"Naljani (Wireless Gate), Gazipur","Naljani (Wireless Gate),",Gazipur,2004,['Sweaters'],864000.0,Large,21,2.3333333333333335,2880.0,1,0,0,0,0,0,0
A & A Trousers Ltd.,Knit,5.0,800.0,518,156000.0,"Ladies Blouses ,Men's Pants ,Denim Jackets ,T-Shirts","Haribari Tak, Pubail College Gate, Gazipur, Sadar",Gazipur,Sadar,2008,"['Ladies Blouses', 'Mens Pants', 'Denim Jackets', 'T-Shirts']",1872000.0,Very Large,17,1.5444015444015444,3613.899613899614,4,0,0,0,0,0,0
